skill,count
python,4810
sql,4610
data analysis,3293
machine learning,2684
communication,2506
data visualization,2330
aws,1740
project management,1737
data engineering,1714
communication skills,1712
tableau,1705
data science,1691
r,1544
data modeling,1520
data management,1470
java,1434
problem solving,1410
data warehousing,1408
data analytics,1402
spark,1395
teamwork,1227
analytical skills,1219
data governance,1209
cloud computing,1125
attention to detail,1081
